,type,entry_price,entry_time,exit_price,exit_time,PnL
40,SELL,172.5,2023-05-15 13:46:00+00:00,171.78,2023-05-17 13:38:00+00:00,0.7199999999999989
41,SELL,171.29,2023-05-17 13:42:00+00:00,171.1889,2023-05-17 14:22:00+00:00,0.10110000000000241
42,SELL,170.56,2023-05-17 15:22:00+00:00,173.25,2023-05-18 13:30:00+00:00,-2.6899999999999977
43,BUY,173.26,2023-05-18 13:36:00+00:00,172.78,2023-05-18 13:44:00+00:00,-0.47999999999998977
44,BUY,173.6,2023-05-18 14:17:00+00:00,174.73,2023-05-18 15:56:00+00:00,1.1299999999999955
45,SELL,174.65,2023-05-18 15:58:00+00:00,174.47,2023-05-18 17:00:00+00:00,0.18000000000000682
46,SELL,174.59,2023-05-18 17:28:00+00:00,176.07,2023-05-19 13:30:00+00:00,-1.4799999999999898
47,SELL,175.78,2023-05-19 13:43:00+00:00,175.7,2023-05-19 14:59:00+00:00,0.0800000000000125
48,BUY,175.985,2023-05-19 15:04:00+00:00,175.52,2023-05-19 15:15:00+00:00,-0.4650000000000034
49,SELL,175.52,2023-05-19 16:01:00+00:00,174.13,2023-05-22 13:33:00+00:00,1.3900000000000148
50,SELL,174.45,2023-05-22 13:42:00+00:00,173.04,2023-05-23 13:41:00+00:00,1.4099999999999966
51,SELL,172.935,2023-05-23 13:44:00+00:00,171.73,2023-05-24 13:33:00+00:00,1.2050000000000125
52,BUY,172.175,2023-05-24 13:42:00+00:00,171.3863,2023-05-24 14:48:00+00:00,-0.7887000000000057
53,SELL,170.93,2023-05-24 15:43:00+00:00,171.88,2023-05-24 19:52:00+00:00,-0.9499999999999886
54,SELL,171.7,2023-05-24 19:55:00+00:00,173.03,2023-05-25 13:30:00+00:00,-1.3300000000000125
55,BUY,172.53,2023-05-25 13:36:00+00:00,172.0599,2023-05-25 14:19:00+00:00,-0.4701000000000022
56,SELL,171.7285,2023-05-25 14:31:00+00:00,172.01,2023-05-25 14:32:00+00:00,-0.2814999999999941
57,SELL,172.41,2023-05-25 15:16:00+00:00,173.32,2023-05-26 13:30:00+00:00,-0.9099999999999966
58,BUY,173.64,2023-05-26 13:31:00+00:00,175.07,2023-05-26 15:22:00+00:00,1.4300000000000068
59,BUY,175.405,2023-05-26 15:41:00+00:00,177.945,2023-05-30 13:45:00+00:00,2.539999999999992
60,SELL,177.37,2023-05-30 13:49:00+00:00,177.63,2023-05-30 13:57:00+00:00,-0.2599999999999909
61,SELL,177.35,2023-05-30 14:01:00+00:00,177.945,2023-05-30 14:05:00+00:00,-0.5949999999999989
62,SELL,177.0199,2023-05-30 14:44:00+00:00,177.24,2023-05-30 15:29:00+00:00,-0.22010000000000218
63,SELL,177.54,2023-05-30 17:21:00+00:00,177.69,2023-05-31 13:30:00+00:00,-0.15000000000000568
64,BUY,178.08,2023-05-31 13:34:00+00:00,177.78,2023-05-31 13:35:00+00:00,-0.30000000000001137
65,BUY,177.88,2023-05-31 13:37:00+00:00,178.97,2023-05-31 14:07:00+00:00,1.0900000000000034
66,SELL,178.195,2023-05-31 14:19:00+00:00,177.805,2023-05-31 14:38:00+00:00,0.38999999999998636
67,BUY,178.2301,2023-05-31 14:47:00+00:00,178.01,2023-05-31 19:50:00+00:00,-0.22010000000000218
68,BUY,178.2141,2023-05-31 19:51:00+00:00,177.9099,2023-05-31 19:52:00+00:00,-0.3042000000000087
69,SELL,177.54,2023-05-31 19:54:00+00:00,177.56,2023-06-01 13:33:00+00:00,-0.020000000000010232
70,SELL,177.2801,2023-06-01 13:36:00+00:00,178.715,2023-06-01 14:40:00+00:00,-1.434899999999999
71,BUY,179.15,2023-06-01 14:46:00+00:00,179.57,2023-06-01 17:25:00+00:00,0.4199999999999875
72,SELL,179.395,2023-06-01 19:37:00+00:00,179.99,2023-06-01 19:55:00+00:00,-0.5949999999999989
73,BUY,181.19,2023-06-02 13:30:00+00:00,180.7299,2023-06-02 13:36:00+00:00,-0.4601000000000113
74,SELL,180.17,2023-06-02 13:46:00+00:00,180.14,2023-06-02 13:51:00+00:00,0.030000000000001137
75,SELL,180.115,2023-06-02 13:57:00+00:00,180.0499,2023-06-02 14:10:00+00:00,0.06510000000000105
76,BUY,180.2699,2023-06-02 14:12:00+00:00,180.15,2023-06-02 14:16:00+00:00,-0.11990000000000123
77,SELL,179.5315,2023-06-02 14:24:00+00:00,179.79,2023-06-02 14:28:00+00:00,-0.25849999999999795
78,SELL,180.72,2023-06-02 16:07:00+00:00,182.68,2023-06-05 13:31:00+00:00,-1.960000000000008
79,BUY,182.91,2023-06-05 13:32:00+00:00,182.81,2023-06-05 13:56:00+00:00,-0.09999999999999432
80,SELL,183.56,2023-06-05 14:09:00+00:00,183.9299,2023-06-05 14:12:00+00:00,-0.36990000000000123
81,BUY,184.155,2023-06-05 14:37:00+00:00,183.82,2023-06-05 14:38:00+00:00,-0.33500000000000796
82,BUY,184.1901,2023-06-05 14:45:00+00:00,184.4476,2023-06-05 16:57:00+00:00,0.2574999999999932
83,BUY,184.7399,2023-06-05 17:07:00+00:00,184.4695,2023-06-05 17:18:00+00:00,-0.2703999999999951
84,SELL,184.3,2023-06-05 17:26:00+00:00,182.76,2023-06-05 17:52:00+00:00,1.5400000000000205
85,SELL,182.539,2023-06-05 17:53:00+00:00,182.78,2023-06-05 17:59:00+00:00,-0.24100000000001387
86,BUY,183.53,2023-06-05 18:22:00+00:00,183.315,2023-06-05 18:24:00+00:00,-0.2150000000000034
87,SELL,182.59,2023-06-05 18:30:00+00:00,181.1602,2023-06-05 18:35:00+00:00,1.4298000000000002
88,SELL,180.44,2023-06-05 18:38:00+00:00,181.35,2023-06-05 18:40:00+00:00,-0.9099999999999966
89,SELL,180.8001,2023-06-05 18:43:00+00:00,181.24,2023-06-05 18:55:00+00:00,-0.43990000000002283
90,BUY,181.6739,2023-06-05 18:58:00+00:00,181.165,2023-06-05 19:01:00+00:00,-0.5089000000000112
91,SELL,180.16,2023-06-05 19:02:00+00:00,179.54,2023-06-05 19:22:00+00:00,0.6200000000000045
92,SELL,179.115,2023-06-05 19:26:00+00:00,179.35,2023-06-05 19:52:00+00:00,-0.23499999999998522
93,BUY,179.575,2023-06-05 19:53:00+00:00,178.98,2023-06-06 13:30:00+00:00,-0.5949999999999989
94,SELL,178.56,2023-06-06 13:31:00+00:00,177.76,2023-06-06 14:03:00+00:00,0.8000000000000114
